duration_ms_x,popularity,track_number,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_class
266041,51,1,0.45,0.6559999999999999,0.665,0.014,1,0.14300000000000002,-8.705,1,0.232,95.019,0.279,0
252838,56,1,0.454,0.5329999999999999,0.555,0.207,1,0.103,-10.661,1,0.0492,191.894,0.204,1
227880,50,1,0.236,0.8490000000000001,0.396,0.000743,8,0.102,-6.318,0,0.051,114.998,0.607,0
206377,51,7,0.0534,0.617,0.5870000000000001,0.056,11,0.101,-8.202,0,0.0263,99.049,0.5870000000000001,0
210705,47,1,0.378,0.8190000000000001,0.6970000000000001,1.66E-05,5,0.154,-5.273,1,0.0447,120.004,0.725,0
239773,39,1,0.581,0.6829999999999999,0.7290000000000001,0.00419,2,0.29100000000000004,-5.945,1,0.0671,140.085,0.693,0
300429,52,7,0.5329999999999999,0.285,0.539,0.0034200000000000003,4,0.0995,-8.305,1,0.0273,170.007,0.0466,0
159533,11,7,0.149,0.294,0.5770000000000001,0,4,0.191,-7.772,1,0.0385,139.74,0.382,0
121239,48,1,0.857,0.282,0.16399999999999998,0.00675,8,0.0887,-11.583,1,0.0311,81.859,0.159,0
234333,59,1,0.0256,0.536,0.868,0.501,2,0.123,-8.214,1,0.0542,165.014,0.696,1
166575,44,2,0.23,0.6509999999999999,0.868,0.0008039999999999999,4,0.0972,-5.358,0,0.0451,77.845,0.8909999999999999,0
215555,38,1,0.0973,0.688,0.905,0.5720000000000001,8,0.0982,-5.621,0,0.0361,108.031,0.691,0
213937,55,2,0.29600000000000004,0.7070000000000001,0.6809999999999999,1.98E-06,11,0.12,-8.335,1,0.0368,100.999,0.547,0
230053,34,1,0.607,0.718,0.5539999999999999,1.22E-05,11,0.0766,-8.041,0,0.108,113.974,0.698,0
189215,38,1,0.818,0.7490000000000001,0.35100000000000003,0.00118,7,0.106,-10.96,1,0.033,108.873,0.759,0
180840,34,1,0.695,0.374,0.259,0.00195,8,0.227,-11.146,1,0.0298,68.426,0.193,0
265960,30,10,0.889,0.376,0.277,0.0508,9,0.1,-10.661,0,0.0415,115.166,0.241,0
196031,50,1,0.222,0.873,0.529,0.0817,3,0.273,-9.996,1,0.0475,112.974,0.8420000000000001,0
264013,47,5,0.00383,0.5710000000000001,0.8740000000000001,0.0282,4,0.0621,-5.2,1,0.0273,127.046,0.742,0
172504,49,1,0.0716,0.416,0.366,0.0076,2,0.113,-10.861,1,0.0317,156.032,0.128,0
183984,56,1,0.55,0.564,0.43,0,2,0.0953,-5.784,1,0.0252,96.059,0.2,1
206104,49,12,0.785,0.594,0.772,0.885,8,0.114,-5.886,1,0.0281,124.998,0.298,0
249386,60,1,0.32299999999999995,0.5920000000000001,0.418,0.222,11,0.0747,-10.972,1,0.0581,151.018,0.467,1
193740,62,1,0.648,0.7929999999999999,0.465,0.000132,5,0.0871,-8.134,0,0.271,141.85,0.898,1
197357,63,1,0.448,0.748,0.602,0.00106,7,0.0995,-8.621,1,0.037000000000000005,119.999,0.213,1
206233,51,1,0.157,0.693,0.649,0.0195,11,0.0783,-7.246,1,0.0257,105.984,0.835,0
263041,50,1,0.0493,0.693,0.716,0.6709999999999999,6,0.0785,-8.051,0,0.033,109.101,0.72,0
208341,50,1,0.82,0.736,0.315,0.552,8,0.13,-12.706,1,0.0494,139.982,0.657,0
177637,45,1,0.524,0.616,0.505,0.0615,9,0.101,-8.82,1,0.0292,104.454,0.242,0
148607,54,1,0.0174,0.654,0.972,0,6,0.402,-2.872,0,0.103,117.009,0.687,0
142625,57,1,0.0786,0.851,0.409,0.0225,7,0.158,-6.462999999999999,1,0.0647,121.985,0.268,1
133933,44,1,0.7,0.722,0.524,0.856,11,0.116,-9.67,0,0.032,135.94799999999998,0.551,0
270052,64,3,0.00448,0.562,0.956,0.000104,0,0.102,-3.906,1,0.0447,105.068,0.79,1
220173,52,5,0.965,0.5479999999999999,0.224,0.000342,3,0.104,-14.252,0,0.0282,96.951,0.358,0
231504,45,1,0.8740000000000001,0.6970000000000001,0.285,0.00252,0,0.0917,-13.208,1,0.0274,90.06,0.627,0
316680,38,1,0.14400000000000002,0.478,0.468,0.00899,4,0.0849,-7.121,0,0.0315,119.843,0.146,0
187335,60,1,0.657,0.794,0.5,0.0292,9,0.106,-7.215,1,0.0274,98.969,0.455,1
282975,50,1,0.514,0.665,0.329,0.316,0,0.114,-11.167,1,0.0365,132.156,0.179,0
